customer_id,first_name,last_name,email,signup_date,acquisition_channel,customer_segment,city,country,first_purchase_date,last_purchase_date,frequency,gross_monetary,total_refunded,net_monetary,total_quantity,returns_count,recency,return_rate,tenure_days
CUST00001,Abigail,Brown,abigail.brown13@example.com,2026-01-29,Google Ads,,Houston,United States,2026-02-17,2026-06-05,2,172.95000000000002,0.0,172.95000000000002,3,0,26.0,0.0,153
CUST00002,Ava,White,ava.white23@example.com,2025-11-23,Organic,,Austin,United States,2025-12-12,2026-06-21,3,440.93,0.0,440.93,3,0,10.0,0.0,220
CUST00003,Olivia,Jackson,olivia.jackson64@example.com,2024-02-02,Google Ads,,Houston,United States,2024-04-03,2026-02-15,6,568.6700000000001,0.0,568.6700000000001,6,0,136.0,0.0,880
CUST00004,Elijah,Taylor,elijah.taylor87@example.com,2024-01-28,Email,,Austin,United States,2024-05-21,2026-02-18,4,291.94,0.0,291.94,6,0,133.0,0.0,885
CUST00005,Lucas,Davis,lucas.davis67@example.com,2025-08-26,Google Ads,,New York,United States,2025-09-05,2026-06-04,8,1290.5900000000001,0.0,1290.5900000000001,9,0,27.0,0.0,309
CUST00006,Elizabeth,Sanchez,elizabeth.sanchez30@example.com,2025-12-15,Meta Ads,,Miami,United States,2026-06-21,2026-06-21,1,54.69,0.0,54.69,1,0,10.0,0.0,198
CUST00007,Ava,Miller,ava.miller53@example.com,2024-04-14,Google Ads,,Los Angeles,United States,2024-04-28,2026-04-19,21,3433.98,127.08999999999999,3306.89,28,2,73.0,0.09523809523809523,808
CUST00008,Benjamin,Ramirez,benjamin.ramirez54@example.com,2025-09-10,Google Ads,,New York,United States,2025-11-27,2025-11-27,1,101.1,0.0,101.1,1,0,216.0,0.0,294
CUST00009,Jacob,Anderson,jacob.anderson78@example.com,2024-05-07,Referral,,Seattle,United States,2024-11-27,2025-10-13,3,247.39000000000001,132.81,114.58000000000001,5,1,261.0,0.3333333333333333,785
CUST00010,Olivia,Moore,olivia.moore47@example.com,2025-10-05,Email,,San Francisco,United States,2026-02-09,2026-06-29,4,417.96,0.0,417.96,5,0,2.0,0.0,269
CUST00011,Evelyn,Miller,evelyn.miller18@example.com,2024-02-16,Email,,Miami,United States,2024-02-21,2026-01-05,7,884.54,0.0,884.54,9,0,177.0,0.0,866
CUST00012,Olivia,Ramirez,olivia.ramirez39@example.com,2024-04-13,Meta Ads,,Boston,United States,2024-05-20,2025-11-01,7,1091.5900000000001,143.4,948.19,8,1,242.0,0.14285714285714285,809
CUST00013,Abigail,Clark,abigail.clark56@example.com,2024-06-15,Meta Ads,,Houston,United States,2024-10-09,2025-08-29,3,648.23,24.57,623.66,6,1,306.0,0.3333333333333333,746
CUST00014,Henry,Rodriguez,henry.rodriguez99@example.com,2025-11-30,Email,,Denver,United States,2026-01-11,2026-01-11,1,195.64,0.0,195.64,2,0,171.0,0.0,213
CUST00015,Abigail,Garcia,abigail.garcia78@example.com,2026-01-16,Google Ads,,Boston,United States,2026-02-20,2026-02-20,1,133.44,0.0,133.44,2,0,131.0,0.0,166
