customer_id,first_name,last_name,email,signup_date,acquisition_channel,customer_segment,city,country
CUST00001,Abigail,Brown,abigail.brown13@example.com,2026-01-29,Google Ads,,Houston,United States
CUST00002,Ava,White,ava.white23@example.com,2025-11-23,Organic,,Austin,United States
CUST00003,Olivia,Jackson,olivia.jackson64@example.com,2024-02-02,Google Ads,,Houston,United States
CUST00004,Elijah,Taylor,elijah.taylor87@example.com,2024-01-28,Email,,Austin,United States
CUST00005,Lucas,Davis,lucas.davis67@example.com,2025-08-26,Google Ads,,New York,United States
CUST00006,Elizabeth,Sanchez,elizabeth.sanchez30@example.com,2025-12-15,Meta Ads,,Miami,United States
CUST00007,Ava,Miller,ava.miller53@example.com,2024-04-14,Google Ads,,Los Angeles,United States
CUST00008,Benjamin,Ramirez,benjamin.ramirez54@example.com,2025-09-10,Google Ads,,New York,United States
CUST00009,Jacob,Anderson,jacob.anderson78@example.com,2024-05-07,Referral,,Seattle,United States
CUST00010,Olivia,Moore,olivia.moore47@example.com,2025-10-05,Email,,San Francisco,United States
CUST00011,Evelyn,Miller,evelyn.miller18@example.com,2024-02-16,Email,,Miami,United States
CUST00012,Olivia,Ramirez,olivia.ramirez39@example.com,2024-04-13,Meta Ads,,Boston,United States
CUST00013,Abigail,Clark,abigail.clark56@example.com,2024-06-15,Meta Ads,,Houston,United States
CUST00014,Henry,Rodriguez,henry.rodriguez99@example.com,2025-11-30,Email,,Denver,United States
CUST00015,Abigail,Garcia,abigail.garcia78@example.com,2026-01-16,Google Ads,,Boston,United States
CUST00016,Charlotte,Rodriguez,charlotte.rodriguez91@example.com,2025-12-05,Email,,San Francisco,United States
CUST00017,Sofia,Harris,sofia.harris17@example.com,2024-08-22,Organic,,San Francisco,United States
CUST00018,Charlotte,Rodriguez,charlotte.rodriguez18@example.com,2024-08-04,Referral,,Denver,United States
CUST00019,Avery,Thompson,avery.thompson50@example.com,2024-08-05,Email,,Seattle,United States
CUST00020,Avery,Robinson,avery.robinson92@example.com,2025-04-14,Google Ads,,Chicago,United States
CUST00021,Elijah,White,elijah.white81@example.com,2025-07-05,Google Ads,,Denver,United States
CUST00022,Lucas,Lewis,lucas.lewis84@example.com,2025-02-12,Meta Ads,,Chicago,United States
CUST00023,Harper,Thomas,harper.thomas21@example.com,2026-02-12,Google Ads,,Los Angeles,United States
CUST00024,Ava,Lee,ava.lee30@example.com,2026-03-22,Email,,Denver,United States
CUST00025,Olivia,Gonzalez,olivia.gonzalez58@example.com,2025-09-02,Referral,,Austin,United States
CUST00026,Isabella,Moore,isabella.moore11@example.com,2025-11-27,Organic,,Austin,United States
CUST00027,Elizabeth,Rodriguez,elizabeth.rodriguez92@example.com,2024-12-14,Google Ads,,Seattle,United States
CUST00028,Oliver,Anderson,oliver.anderson10@example.com,2026-01-09,Organic,,Miami,United States
CUST00029,Harper,Harris,harper.harris32@example.com,2025-06-03,Referral,,Miami,United States
CUST00030,Sofia,Lee,sofia.lee74@example.com,2025-09-15,Google Ads,,San Francisco,United States
CUST00031,Elizabeth,Garcia,elizabeth.garcia79@example.com,2026-03-08,Referral,,New York,United States
CUST00032,Alexander,Hernandez,alexander.hernandez72@example.com,2024-01-20,Google Ads,,San Francisco,United States
CUST00033,Avery,Clark,avery.clark49@example.com,2024-09-02,Google Ads,,Denver,United States
CUST00034,Olivia,Williams,olivia.williams72@example.com,2024-03-11,Referral,,Austin,United States
CUST00035,Elizabeth,Jones,elizabeth.jones26@example.com,2025-11-06,Meta Ads,,Austin,United States
CUST00036,Oliver,Rodriguez,oliver.rodriguez77@example.com,2025-09-13,Meta Ads,,Houston,United States
CUST00037,Logan,Moore,logan.moore98@example.com,2024-07-24,Organic,,Seattle,United States
CUST00038,Henry,Lee,henry.lee57@example.com,2025-03-24,Organic,,Boston,United States
CUST00039,Noah,Davis,noah.davis38@example.com,2024-03-06,Meta Ads,,Denver,United States
CUST00040,Ethan,Davis,ethan.davis85@example.com,2024-08-13,Google Ads,,New York,United States
CUST00041,Elijah,Williams,elijah.williams14@example.com,2024-12-04,Google Ads,,Houston,United States
CUST00042,Isabella,Perez,isabella.perez72@example.com,2024-08-07,Meta Ads,,Denver,United States
CUST00043,Evelyn,Thomas,evelyn.thomas41@example.com,2026-03-14,Meta Ads,,Seattle,United States
CUST00044,Sophia,Brown,sophia.brown22@example.com,2025-11-05,Meta Ads,,Seattle,United States
CUST00045,Lucas,Anderson,lucas.anderson16@example.com,2025-11-20,Email,,Los Angeles,United States
CUST00046,Liam,Gonzalez,liam.gonzalez53@example.com,2026-03-30,Organic,,Houston,United States
CUST00047,Sophia,Miller,sophia.miller78@example.com,2025-04-04,Google Ads,,Chicago,United States
CUST00048,Isabella,Anderson,isabella.anderson41@example.com,2024-03-18,Meta Ads,,Austin,United States
CUST00049,Noah,Johnson,noah.johnson93@example.com,2025-07-07,Organic,,Los Angeles,United States
CUST00050,Logan,Harris,logan.harris40@example.com,2024-06-19,Meta Ads,,Boston,United States
CUST00051,Sophia,Ramirez,sophia.ramirez61@example.com,2024-03-01,Google Ads,,New York,United States
CUST00052,Charlotte,Rodriguez,charlotte.rodriguez68@example.com,2024-10-19,Meta Ads,,Austin,United States
CUST00053,Henry,Thompson,henry.thompson72@example.com,2024-06-07,Google Ads,,Houston,United States
CUST00054,Liam,Jackson,liam.jackson79@example.com,2024-03-03,Organic,,New York,United States
CUST00055,Liam,Jackson,liam.jackson71@example.com,2025-05-29,Referral,,Austin,United States
CUST00056,Oliver,Johnson,oliver.johnson75@example.com,2024-03-23,Organic,,Los Angeles,United States
CUST00057,Alexander,Williams,alexander.williams96@example.com,2024-08-28,Meta Ads,,Denver,United States
CUST00058,Elijah,Jackson,elijah.jackson86@example.com,2024-02-10,Email,,Seattle,United States
CUST00059,Henry,Jackson,henry.jackson82@example.com,2025-06-19,Meta Ads,,Miami,United States
CUST00060,Sophia,Perez,sophia.perez50@example.com,2024-09-01,Google Ads,,Chicago,United States
